                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1072,                 1.4692,                 1.3727,                 0.7923,                0.74737,                 0.7833,                0.54187,                 1.0939,                 1.3829,                 1.3806,              0.0006653,              0.0006653,              0.0006653
                      2,                 1.1538,                 1.0552,                 1.3978,                0.87046,                0.74649,                0.81353,                0.56619,                 1.2054,                0.89067,                 1.3767,              0.0013056,              0.0013056,              0.0013056
                      3,                 1.1642,                  1.009,                 1.4007,                0.85456,                0.68421,                0.76442,                0.52085,                 1.2067,                 1.0536,                 1.4644,              0.0019195,              0.0019195,              0.0019195
                      4,                 1.1146,                0.91829,                 1.3614,                0.92571,                0.81983,                0.88606,                0.62916,                 1.0792,                0.74883,                 1.3661,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.0755,                0.87271,                 1.3417,                0.91687,                0.86491,                0.90175,                0.68118,                0.93569,                0.65167,                 1.2112,              0.0018416,              0.0018416,              0.0018416
                      6,                  1.035,                0.81106,                 1.3104,                0.92154,                0.87105,                0.89507,                0.68475,                0.92498,                0.62327,                 1.2103,               0.001802,               0.001802,               0.001802
                      7,                 1.0048,                0.78312,                 1.2968,                0.93867,                0.85351,                0.90598,                0.69189,                0.92396,                0.58101,                 1.2028,              0.0017624,              0.0017624,              0.0017624
                      8,                0.97981,                0.75582,                 1.2793,                0.91356,                0.87105,                 0.9068,                0.68313,                0.92319,                0.60951,                  1.203,              0.0017228,              0.0017228,              0.0017228
                      9,                0.97039,                0.75001,                 1.2699,                0.92909,                0.87346,                0.90817,                0.69734,                0.87712,                0.57072,                 1.1696,              0.0016832,              0.0016832,              0.0016832
                     10,                 0.9488,                 0.7284,                 1.2572,                0.95601,                0.85439,                0.91515,                0.71716,                0.84571,                0.54282,                 1.1496,              0.0016436,              0.0016436,              0.0016436
                     11,                0.93307,                0.71662,                 1.2481,                 0.9468,                0.87193,                0.91934,                0.71701,                0.86786,                0.53506,                 1.1433,               0.001604,               0.001604,               0.001604
                     12,                0.92289,                0.70015,                 1.2431,                0.93674,                0.88323,                 0.9205,                0.72208,                 0.8705,                0.52558,                 1.1506,              0.0015644,              0.0015644,              0.0015644
                     13,                0.91747,                0.68506,                 1.2403,                0.94514,                0.87655,                0.91778,                  0.716,                0.84349,                0.51468,                 1.1482,              0.0015248,              0.0015248,              0.0015248
                     14,                0.91652,                0.68097,                 1.2241,                0.93357,                0.89386,                0.92166,                0.71951,                0.89141,                0.52858,                 1.1625,              0.0014852,              0.0014852,              0.0014852
                     15,                0.88738,                0.65871,                 1.2155,                0.95329,                 0.8807,                0.92531,                0.73065,                0.83876,                0.49901,                 1.1301,              0.0014456,              0.0014456,              0.0014456
                     16,                0.87356,                 0.6463,                 1.2108,                0.94068,                0.88333,                0.92152,                  0.725,                 0.8293,                0.50042,                 1.1512,               0.001406,               0.001406,               0.001406
                     17,                0.87088,                 0.6415,                 1.2054,                0.95347,                0.88772,                0.92268,                0.73268,                0.80697,                0.48408,                 1.1238,              0.0013664,              0.0013664,              0.0013664
                     18,                0.86794,                0.64542,                    1.2,                0.95932,                0.88596,                0.92522,                0.74114,                0.80335,                0.47219,                 1.1192,              0.0013268,              0.0013268,              0.0013268
                     19,                0.83763,                0.61361,                 1.1878,                0.94476,                0.89737,                0.92543,                0.74327,                0.78276,                0.45997,                 1.1087,              0.0012872,              0.0012872,              0.0012872
                     20,                0.84187,                 0.6138,                 1.1851,                0.95426,                0.89298,                0.92427,                 0.7375,                0.81529,                0.48659,                 1.1244,              0.0012476,              0.0012476,              0.0012476
                     21,                0.84133,                0.61466,                 1.1826,                0.95963,                0.89386,                0.92443,                0.74598,                0.79115,                0.46024,                  1.105,               0.001208,               0.001208,               0.001208
                     22,                0.82651,                0.60558,                 1.1752,                0.95346,                0.88065,                0.92329,                0.73933,                0.79099,                0.47768,                 1.1183,              0.0011684,              0.0011684,              0.0011684
                     23,                0.82216,                 0.5976,                 1.1773,                0.96169,                0.88333,                0.92406,                0.74021,                0.80989,                0.47828,                   1.11,              0.0011288,              0.0011288,              0.0011288
                     24,                0.80657,                0.58369,                  1.166,                0.95607,                0.87825,                 0.9216,                0.74723,                0.76939,                0.46151,                 1.0941,              0.0010892,              0.0010892,              0.0010892
                     25,                0.79642,                0.58024,                  1.157,                 0.9571,                 0.9002,                 0.9285,                0.75961,                0.75032,                0.43797,                 1.0814,              0.0010496,              0.0010496,              0.0010496
                     26,                0.78906,                0.56814,                 1.1538,                0.94545,                0.89698,                0.92933,                0.74814,                 0.7907,                0.44128,                 1.0924,                0.00101,                0.00101,                0.00101
                     27,                0.78357,                 0.5608,                 1.1494,                0.93644,                0.90465,                0.93241,                0.75848,                0.77138,                0.43508,                 1.1006,              0.0009704,              0.0009704,              0.0009704
                     28,                0.77609,                0.55492,                 1.1435,                0.95814,                0.88352,                0.93125,                0.75809,                0.75293,                0.43995,                 1.1001,              0.0009308,              0.0009308,              0.0009308
                     29,                0.77139,                0.55043,                 1.1458,                0.96438,                0.89035,                0.93585,                0.75907,                0.76784,                0.42177,                 1.0869,              0.0008912,              0.0008912,              0.0008912
                     30,                0.76479,                0.54859,                 1.1407,                0.95889,                0.89035,                0.93146,                0.75066,                0.77503,                0.42789,                 1.0962,              0.0008516,              0.0008516,              0.0008516
                     31,                0.74479,                0.53657,                 1.1231,                0.96653,                0.88947,                0.93156,                0.76685,                0.73278,                0.42898,                 1.0722,               0.000812,               0.000812,               0.000812
                     32,                0.74525,                0.52252,                 1.1279,                0.96245,                0.89298,                0.93545,                0.76567,                0.73843,                0.42174,                 1.0764,              0.0007724,              0.0007724,              0.0007724
                     33,                0.73406,                0.52373,                 1.1217,                0.96183,                0.89298,                0.93022,                0.76444,                0.74055,                0.42071,                 1.0735,              0.0007328,              0.0007328,              0.0007328
                     34,                 0.7259,                0.51531,                 1.1154,                0.94929,                0.89649,                0.93026,                0.76619,                0.74515,                0.41637,                 1.0771,              0.0006932,              0.0006932,              0.0006932
                     35,                0.71981,                0.50781,                 1.1133,                0.95224,                0.89189,                0.93574,                0.76853,                0.72346,                0.40932,                 1.0683,              0.0006536,              0.0006536,              0.0006536
                     36,                0.71858,                0.50819,                  1.111,                0.96383,                0.88684,                0.93228,                0.76832,                0.73718,                0.40819,                 1.0828,               0.000614,               0.000614,               0.000614
                     37,                0.70156,                0.48993,                 1.1008,                0.97465,                0.87677,                0.93389,                 0.7732,                0.71365,                0.39264,                 1.0677,              0.0005744,              0.0005744,              0.0005744
                     38,                0.69252,                0.48878,                 1.0958,                0.96331,                0.89035,                 0.9303,                 0.7648,                0.73254,                0.40161,                 1.0716,              0.0005348,              0.0005348,              0.0005348
                     39,                0.69276,                0.48501,                  1.097,                0.96299,                 0.8902,                0.93413,                0.77249,                0.72583,                0.39492,                 1.0713,              0.0004952,              0.0004952,              0.0004952
                     40,                0.69254,                0.48197,                 1.0942,                0.96483,                 0.8904,                0.93116,                0.77677,                0.70624,                 0.4043,                 1.0534,              0.0004556,              0.0004556,              0.0004556
                     41,                0.63138,                0.39345,                  1.063,                0.96862,                0.89364,                0.93485,                0.77933,                  0.704,                0.39308,                  1.056,               0.000416,               0.000416,               0.000416
                     42,                0.60921,                0.37293,                 1.0466,                 0.9665,                0.89561,                 0.9357,                0.78045,                0.70298,                0.39741,                 1.0528,              0.0003764,              0.0003764,              0.0003764
                     43,                0.60076,                0.36856,                 1.0387,                0.96644,                 0.8886,                0.93436,                0.77909,                0.69322,                0.38998,                 1.0492,              0.0003368,              0.0003368,              0.0003368
                     44,                0.58805,                0.35781,                 1.0274,                0.97503,                0.89649,                0.93719,                0.78553,                0.68983,                0.38771,                 1.0445,              0.0002972,              0.0002972,              0.0002972
                     45,                0.57568,                0.34738,                 1.0255,                0.96753,                0.88861,                0.93826,                 0.7854,                0.69121,                0.38986,                 1.0571,              0.0002576,              0.0002576,              0.0002576
                     46,                0.57105,                0.34262,                 1.0204,                0.97182,                 0.8886,                0.93796,                0.78535,                0.69437,                0.39204,                 1.0547,               0.000218,               0.000218,               0.000218
                     47,                0.56185,                0.33858,                 1.0132,                0.97367,                0.89123,                0.93759,                0.78595,                0.69213,                0.39178,                 1.0549,              0.0001784,              0.0001784,              0.0001784
                     48,                 0.5529,                 0.3295,                 1.0083,                0.97126,                0.88936,                 0.9382,                0.78783,                0.68797,                0.39075,                 1.0558,              0.0001388,              0.0001388,              0.0001388
                     49,                0.54238,                0.32109,                 1.0056,                0.97579,                0.88397,                0.93671,                0.78538,                0.69049,                0.38735,                  1.055,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.53536,                0.31531,                 1.0006,                0.96761,                 0.8911,                0.93604,                0.78464,                0.68965,                0.38849,                 1.0562,               5.96e-05,               5.96e-05,               5.96e-05
